job_id,job_title,salary_usd,employment_type,company_location,is_remote,employee_location,job_skills,degree_required,posting_date,company_name,salary_tier,has_target,degree_flag
3525,Data Analyst,102500,Full-time,United States,False,"California, United States","['python', 'sql', 'mysql']",True,2023-08-16,Stockpile,High,True,no degree required
3545,Data Analyst,75000,Full-time,United States,False,Georgia,"['excel', 'flow']",True,2023-12-01,TALENT Software Services,Mid,False,no degree required
3656,Data Analyst,68328,Full-time,United States,False,"New York, United States","['go', 'sql', 'excel', 'alteryx', 'flow']",False,2023-01-05,NYU Langone,Mid,True,no degree required
3710,Data Analyst,85000,Full-time,United States,False,"California, United States","['excel', 'powerpoint']",False,2023-03-25,RPX,Mid,False,no degree required
3778,Data Analyst,111175,Full-time,United States,False,"Illinois, United States","['snowflake', 'aws', 'spark', 'airflow', 'tableau', 'powerpoint', 'excel', 'atlassian', 'bitbucket', 'git', 'confluence', 'jira']",False,2023-07-06,Fetch,High,True,no degree required
3803,Data Analyst,77981,Full-time,United States,False,"California, United States","['sql', 'excel', 'tableau']",False,2023-01-24,AEG Worldwide,Mid,True,no degree required
3855,Data Analyst,90000,Full-time,United States,False,"Florida, United States","['sql', 'excel']",True,2023-05-02,Certus Sales Recruitment,Mid,True,no degree required
3890,Data Analyst,83000,Full-time,United States,False,"California, United States","['sas', 'sas', 'sql', 'excel', 'tableau']",False,2023-03-24,Alameda Health Consortium/Community Health Center Network,Mid,True,no degree required
3932,Data Analyst,85000,Full-time,United States,False,"New York, United States","['go', 'flow']",True,2023-04-19,Robert Half,Mid,False,no degree required
3946,Data Analyst,105000,Full-time,United States,False,"New York, United States","['sql', 'python', 'r', 'snowflake', 'tableau', 'flow']",False,2023-01-10,At-Bay,High,True,no degree required
3962,Data Analyst,79500,Full-time,United States,False,"California, United States","['sql', 'python', 'r', 'pyspark', 'hadoop', 'ggplot2', 'pandas', 'numpy', 'scikit-learn', 'tableau', 'powerpoint', 'flow']",False,2023-08-22,Cox Communications,Mid,True,no degree required
3980,Data Analyst,110000,Full-time,United States,False,"Illinois, United States","['python', 'excel', 'tableau']",False,2023-10-11,Insight Global,High,True,no degree required
4346,Data Analyst,65000,Full-time,United States,False,"California, United States","['sql', 'javascript', 'excel', 'power bi', 'tableau']",False,2023-08-31,Jobot,Mid,True,no degree required
4385,Data Analyst,105000,Full-time,United Kingdom,False,United Kingdom,['sql'],True,2023-07-23,NielsenIQ,High,True,no degree required
4413,Data Analyst,70000,Full-time,United States,False,"Illinois, United States","['sql', 'vba', 'excel', 'outlook', 'word', 'powerpoint', 'ssrs', 'tableau']",False,2023-11-04,Municipal Employees' Annuity and Benefit Fund of Chicago,Mid,True,no degree required
4467,Data Analyst,77500,Full-time,United States,False,"Illinois, United States","['sql', 'python', 'azure', 'power bi', 'dax']",True,2023-01-19,"SmartSource, Inc",Mid,True,no degree required
4548,Data Analyst,70000,Full-time,United States,False,Georgia,"['sql', 'go', 'sql server', 'oracle', 'tableau', 'power bi']",False,2023-02-01,Robert Half,Mid,True,no degree required
4602,Data Analyst,98500,Full-time,Spain,False,Spain,"['python', 'pandas', 'jupyter', 'spreadsheet', 'tableau']",False,2023-05-04,Octopus Energy,Mid,True,no degree required
4781,Data Analyst,85000,Full-time,United States,False,"Illinois, United States","['sql', 'sql server', 'tableau', 'power bi']",False,2023-11-08,Steneral Consulting,Mid,True,no degree required
4859,Data Analyst,76590,Full-time,United States,False,"Texas, United States",['excel'],True,2023-08-01,millenniumsoft,Mid,False,no degree required
4929,Data Analyst,88082,Full-time,United States,False,"California, United States","['sql', 'r', 'tableau', 'word', 'excel', 'powerpoint', 'outlook']",False,2023-07-26,Montecito Bank & Trust,Mid,True,no degree required
4972,Data Analyst,120000,Full-time,United States,False,Georgia,"['sql', 'looker', 'power bi', 'tableau']",True,2023-03-16,Jobot,High,True,no degree required
5141,Data Analyst,100500,Full-time,United Kingdom,False,United Kingdom,"['sql', 'php', 'excel']",False,2023-07-07,Friend MTS,High,True,no degree required
5321,Data Analyst,86093,Full-time,United States,False,"New York, United States","['python', 'r', 'sql', 'vba', 'aws', 'gcp']",False,2023-04-15,Exec Office of Technology Services and Security,Mid,True,no degree required
5322,Data Analyst,66000,Full-time,United States,False,"Illinois, United States","['sql', 'ssrs', 'excel', 'tableau']",False,2023-03-20,TOWNSHIP HIGH SCHOOL DISTRICT 211,Mid,True,no degree required
5326,Data Analyst,72500,Full-time,United States,False,"New York, United States","['sql', 'crystal', 'sas', 'sas', 'javascript', 'vba', 'excel', 'sap', 'cognos', 'spss']",False,2023-06-14,Children's Aid,Mid,True,no degree required
5443,Data Analyst,45886,Full-time,United States,False,"Florida, United States",['css'],True,2023-01-17,Coral Gables,Low,False,no degree required
5585,Data Analyst,128356,Full-time,United States,False,"California, United States","['sql', 'python']",False,2023-01-05,Global Allsights,High,True,no degree required
5630,Data Analyst,77500,Full-time,United States,False,"Illinois, United States","['excel', 'spreadsheet', 'planner']",False,2023-10-18,tag,Mid,False,no degree required
5692,Data Analyst,70000,Full-time,United States,True,"New York, United States","['sql', 'excel']",False,2023-11-03,Class Action Capital Recovery LLC,Mid,True,no degree required
5722,Data Analyst,71500,Full-time,United States,False,"New York, United States","['visual basic', 'sql', 'java', 'c++', 'r', 'python', 'power bi', 'tableau']",False,2023-01-14,ICI Services Corporation,Mid,True,no degree required
6005,Data Analyst,85132,Full-time,United States,False,"New York, United States","['sql', 'r', 'go', 'tableau']",False,2023-04-19,NYC Administration for Children's Services,Mid,True,no degree required
6095,Data Analyst,60000,Full-time,United States,False,"Illinois, United States","['sql', 'sql server', 'ssrs', 'tableau', 'power bi']",True,2023-04-06,Jobot,Mid,True,no degree required
6136,Data Analyst,80000,Full-time,United States,True,"California, United States","['sql', 'sas', 'sas', 'python', 'aws', 'qlik']",False,2023-02-28,Peraton,Mid,True,no degree required
6188,Data Analyst,98500,Full-time,Singapore,False,Singapore,"['r', 'sql', 'javascript', 'excel', 'spss', 'tableau']",False,2023-03-17,Potato Play Pte. Ltd.,Mid,True,no degree required
6191,Data Analyst,60000,Full-time,United States,False,Georgia,"['python', 'sql', 'tableau', 'excel']",True,2023-05-04,Infinity Marketing Solutions Inc,Mid,True,no degree required
6244,Data Analyst,75000,Part-time,United States,False,"New York, United States","['python', 'azure', 'aws', 'spark']",False,2023-12-09,Lockheed Martin,Mid,True,no degree required
6274,Data Analyst,100000,Full-time and Part-time,United States,False,"Florida, United States","['r', 'python', 'windows', 'linux']",False,2023-12-09,Booz Allen Hamilton,Mid,True,no degree required
6312,Data Analyst,75000,Full-time,United States,False,"New York, United States","['python', 'java', 'r', 'c#', 'excel', 'tableau']",True,2023-12-09,"Torin Consulting, Inc.",Mid,True,no degree required
6319,Data Analyst,77500,Full-time,United States,True,"Texas, United States","['python', 'sql']",False,2023-11-09,Get It Recruit - Information Technology,Mid,True,no degree required
6321,Data Analyst,105000,Full-time,Estonia,False,Estonia,"['sql', 'sheets']",False,2023-08-16,Jobbatical,High,True,no degree required
6369,Data Analyst,45000,Full-time,Panama,False,Panama,['gcp'],True,2023-01-12,Publicis Groupe,Low,False,no degree required
6415,Data Analyst,43656,Full-time,United States,False,"Illinois, United States","['r', 'drupal', 'tableau', 'sharepoint', 'word', 'excel']",False,2023-01-06,University of Iowa,Low,True,no degree required
6447,Data Analyst,85000,Full-time,United States,True,"New York, United States","['r', 'tableau']",False,2023-11-16,Get It Recruit - Information Technology,Mid,True,no degree required
6457,Data Analyst,98500,Full-time,United Kingdom,False,United Kingdom,"['sql', 'sql server', 'bigquery', 'ssrs', 'tableau']",True,2023-05-04,Boohoo Group,Mid,True,no degree required
6471,Data Analyst,111175,Full-time,Colombia,False,Colombia,"['sql', 'python', 'aws', 'pandas', 'numpy', 'power bi', 'excel']",False,2023-02-02,Sutherland,High,True,no degree required
6533,Data Analyst,111175,Contractor,Germany,False,Germany,"['python', 'javascript', 'r', 'sql', 'go', 'react', 'flask']",False,2023-07-28,Barbaricum,High,True,no degree required
6538,Data Analyst,119200,Full-time,United States,True,"New York, United States","['sql', 'python', 'hadoop', 'tableau']",False,2023-03-25,CVS Health,High,True,no degree required
6569,Data Analyst,96725,Full-time,United States,False,"New York, United States","['sharepoint', 'power bi', 'tableau']",False,2023-12-15,Leidos,Mid,True,no degree required
6622,Data Analyst,102500,Full-time,Poland,False,Poland,"['airflow', 'tableau', 'power bi', 'git']",True,2023-04-13,capital.com,High,True,no degree required
6645,Data Analyst,127000,Full-time,United States,False,"New York, United States",['outlook'],True,2023-06-23,Acorns,High,False,no degree required
6725,Data Analyst,100000,Full-time and Part-time,United States,False,Georgia,"['visual basic', 'r', 'python', 'sas', 'sas', 'matlab', 'sql', 'oracle', 'spss', 'tableau']",False,2023-12-16,Booz Allen Hamilton,Mid,True,no degree required
6749,Data Analyst,100500,Full-time,United Kingdom,False,United Kingdom,"['sql', 'tableau', 'excel', 'word', 'outlook', 'powerpoint', 'sharepoint']",False,2023-07-04,NBCUniversal,High,True,no degree required
6762,Data Analyst,115000,Full-time,United States,False,"California, United States","['sql', 'python', 'r', 'snowflake', 'tableau', 'flow']",True,2023-01-11,At-Bay,High,True,no degree required
6853,Data Analyst,85000,Full-time,United States,False,"Florida, United States","['sql', 'power bi', 'tableau']",False,2023-05-28,Relevante,Mid,True,no degree required
6915,Data Analyst,119328,Full-time,United States,False,"Illinois, United States","['word', 'spreadsheet']",False,2023-06-22,Deloitte,High,False,no degree required
6939,Data Analyst,84500,Full-time,United States,True,"New York, United States","['windows', 'sharepoint', 'webex']",True,2023-11-06,Get It Recruit - Information Technology,Mid,False,no degree required
6962,Data Analyst,100000,Full-time,United States,False,"California, United States","['sql', 'python', 'r', 'sas', 'sas', 'matlab', 'tableau', 'alteryx']",False,2023-12-09,Lockheed Martin,Mid,True,no degree required
6983,Data Analyst,77500,Full-time,United States,False,"New York, United States","['excel', 'powerpoint', 'tableau']",False,2023-12-14,JDC (The Joint),Mid,True,no degree required
7086,Data Analyst,111175,Full-time,Ireland,False,Ireland,"['r', 'python', 'bash', 'express']",False,2023-05-05,Prove,High,True,no degree required
7107,Data Analyst,63000,Full-time,United States,False,"New York, United States","['sql', 'spss', 'tableau']",False,2023-04-04,Touro University New York,Mid,True,no degree required
7117,Data Analyst,50000,Full-time,United States,True,"New York, United States","['python', 'r', 'excel', 'tableau', 'power bi']",False,2023-12-16,Get It Recruit - Transportation,Low,True,no degree required
7137,Data Analyst,84500,Full-time,United States,True,"Florida, United States","['sql', 'jenkins']",False,2023-11-06,Get It Recruit - Information Technology,Mid,True,no degree required
7148,Data Analyst,100000,Full-time,United States,False,"Texas, United States","['nosql', 'sql', 'mongodb', 'mongodb', 'python', 'javascript', 'excel', 'flow']",False,2023-11-15,CyberCoders,Mid,True,no degree required
7172,Data Analyst,84500,Full-time,United States,True,"New York, United States","['sql', 'javascript', 'python', 'r', 'sas', 'sas', 'tableau', 'looker', 'excel', 'spss']",False,2023-10-30,Get It Recruit - Information Technology,Mid,True,no degree required
7318,Data Analyst,105000,Full-time,United States,False,"Illinois, United States","['sql', 'python', 'snowflake', 'airflow', 'looker']",False,2023-07-11,Netskope,High,True,no degree required
7361,Data Analyst,90000,Full-time,United States,False,"New York, United States","['sql', 'c#', 'python']",False,2023-04-26,Verisk Analytics,Mid,True,no degree required
7372,Data Analyst,110000,Full-time,United States,False,Georgia,"['sql', 'python', 'aws', 'tableau']",True,2023-02-05,"Hexaware Technologies, Inc",High,True,no degree required
7401,Data Analyst,71850,Full-time,United States,True,"New York, United States","['sql', 'r', 'python', 'phoenix', 'tableau']",False,2023-01-12,CVS Health,Mid,True,no degree required
7408,Data Analyst,115000,Full-time,United States,False,"California, United States","['python', 'sql', 'r', 'power bi']",False,2023-06-02,Cognizant,High,True,no degree required
7410,Data Analyst,41446,Full-time,United States,False,"Florida, United States","['sql', 'sas', 'sas', 'excel', 'spss', 'sharepoint']",False,2023-07-25,Healthy Start Coalition of HHP,Low,True,no degree required
